commit,short_commit,committed_at,coverage_percent,smells_total,exit_status,subject
"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00",,,10,"Build Ruby helpdesk CLI foundation"
"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00",,,10,"Add overdue ticket detection"
"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00",,,10,"Add ticket reminders"
"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00",,,10,"Add recurring reminders"
"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00",,,10,"Add dashboard statistics"
"1e6b5c1365ce55c0bdf11757b674bf1ba7a83af8","1e6b5c1","2026-05-04T19:58:37+02:00",,,10,"Add CSV export"
"31894f9579f820c1b78d932b6a5098758e86fd4e","31894f9","2026-05-04T19:59:05+02:00",,,10,"Add JSON export"
"6272738c498724f457b5845af0bf95af10902a9e","6272738","2026-05-04T19:59:36+02:00",,,10,"Add JSON import"
"48df8f285ba9b8891eed19a9191be174f094637d","48df8f2","2026-05-04T20:00:04+02:00",,,10,"Add bulk close action"
"6485a99657afb7d04773e48b22f641e8b35c5d72","6485a99","2026-05-04T20:00:38+02:00",,,10,"Add bulk tagging"
"4e27bd4c93c2d671e88135615c39347c191a5ab6","4e27bd4","2026-05-04T20:02:02+02:00",,,10,"Add user accounts"
"4c8ab38aa4329a4aee8eb313a5ab43bcd50d025b","4c8ab38","2026-05-04T20:03:02+02:00",,,10,"Add user roles"
"1ea3321bedc2b7884021adc5908c4666caf1c98b","1ea3321","2026-05-04T20:04:11+02:00",,,10,"Restrict actions by role"
"0cb7b8c35c43fca869fa9383f36e785a08685a1f","0cb7b8c","2026-05-04T20:05:29+02:00",,,10,"Add audit log"
"ea92c3a2a188f7c801efaca8c8f8cfc37364ff80","ea92c3a","2026-05-04T20:06:04+02:00",,,10,"Add audit log filtering"
"3652b7948135f844acdaf5fb7b3a14cbab795dde","3652b79","2026-05-04T20:06:42+02:00",,,10,"Add internal notes"
"ba94586c5b643311eed9bc2e27dcd1e0efa89628","ba94586","2026-05-04T20:07:37+02:00",,,10,"Add ticket watchers"
"72a0f259ec1f1445ec858d5873380b877fc26b45","72a0f25","2026-05-04T20:09:07+02:00",,,10,"Add notification preferences"
"cfd09252bcbaa92467fb440e51a7a76db2ac5831","cfd0925","2026-05-04T20:14:34+02:00",,,10,"Add email notification mock"
"ba0f4e81e59b11eceae3fae028d3e0677b22d2af","ba0f4e8","2026-05-04T20:18:07+02:00",,,10,"Add notification suppression rules"
"a179217156d69bef63ed172497a0948e4a8052b5","a179217","2026-05-04T20:20:01+02:00",,,10,"Add ticket attachments metadata"
"2f9f153a644f99d2d9986980e225d8eabda3cab2","2f9f153","2026-05-04T20:21:03+02:00",,,10,"Add activity feed"
"bc5bc8cca3ec3a55fed239246de72788bc2f945f","bc5bc8c","2026-05-04T20:22:15+02:00",,,10,"Add pinned tickets"
"21cca112d6cfec40c3f297a91e3e356151583727","21cca11","2026-05-04T20:23:13+02:00",,,10,"Add archived tickets"
"37b5dea4a3450e970a5ccc23409b5ebf6e6a4968","37b5dea","2026-05-04T20:23:54+02:00",,,10,"Add archived ticket filtering"
"17b94849fda3023cd2ea66b6c12e5c363cfb3e7d","17b9484","2026-05-04T20:25:06+02:00",,,10,"Add saved searches"
"9ee3e69e0261ce16a8283d04d22647cfe9c19e6f","9ee3e69","2026-05-04T20:26:22+02:00",,,10,"Add favorite filters"
"acc8584528f29b9000d4c6654ef4abb29e730fb7","acc8584","2026-05-04T20:28:25+02:00",,,10,"Add custom ticket fields"
