commit_number,commit,short_commit,committed_at,coverage_percent,smells_total,rspec_exit_status,reek_exit_status,subject
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00",,0,0,0,"Create backlog and AGENTS.md."
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00",,0,0,0,"Create .do-not-read"
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00",,80,0,2,"Build Ruby helpdesk CLI foundation"
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00",,83,0,2,"Add overdue ticket detection"
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00",,90,0,2,"Add ticket reminders"
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00",,99,0,2,"Add recurring reminders"
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00",,101,0,2,"Add dashboard statistics"
8,"1e6b5c1365ce55c0bdf11757b674bf1ba7a83af8","1e6b5c1","2026-05-04T19:58:37+02:00",,104,0,2,"Add CSV export"
9,"31894f9579f820c1b78d932b6a5098758e86fd4e","31894f9","2026-05-04T19:59:05+02:00",,106,0,2,"Add JSON export"
10,"6272738c498724f457b5845af0bf95af10902a9e","6272738","2026-05-04T19:59:36+02:00",,109,0,2,"Add JSON import"
11,"48df8f285ba9b8891eed19a9191be174f094637d","48df8f2","2026-05-04T20:00:04+02:00",,111,0,2,"Add bulk close action"
12,"6485a99657afb7d04773e48b22f641e8b35c5d72","6485a99","2026-05-04T20:00:38+02:00",,112,0,2,"Add bulk tagging"
13,"4e27bd4c93c2d671e88135615c39347c191a5ab6","4e27bd4","2026-05-04T20:02:02+02:00",,132,0,2,"Add user accounts"
14,"4c8ab38aa4329a4aee8eb313a5ab43bcd50d025b","4c8ab38","2026-05-04T20:03:02+02:00",,147,0,2,"Add user roles"
15,"1ea3321bedc2b7884021adc5908c4666caf1c98b","1ea3321","2026-05-04T20:04:11+02:00",,151,0,2,"Restrict actions by role"
16,"0cb7b8c35c43fca869fa9383f36e785a08685a1f","0cb7b8c","2026-05-04T20:05:29+02:00",,164,0,2,"Add audit log"
17,"ea92c3a2a188f7c801efaca8c8f8cfc37364ff80","ea92c3a","2026-05-04T20:06:04+02:00",,176,0,2,"Add audit log filtering"
18,"3652b7948135f844acdaf5fb7b3a14cbab795dde","3652b79","2026-05-04T20:06:42+02:00",,183,0,2,"Add internal notes"
19,"ba94586c5b643311eed9bc2e27dcd1e0efa89628","ba94586","2026-05-04T20:07:37+02:00",,200,0,2,"Add ticket watchers"
20,"72a0f259ec1f1445ec858d5873380b877fc26b45","72a0f25","2026-05-04T20:09:07+02:00",,209,0,2,"Add notification preferences"
21,"cfd09252bcbaa92467fb440e51a7a76db2ac5831","cfd0925","2026-05-04T20:14:34+02:00",,216,0,2,"Add email notification mock"
22,"ba0f4e81e59b11eceae3fae028d3e0677b22d2af","ba0f4e8","2026-05-04T20:18:07+02:00",,231,0,2,"Add notification suppression rules"
23,"a179217156d69bef63ed172497a0948e4a8052b5","a179217","2026-05-04T20:20:01+02:00",,254,0,2,"Add ticket attachments metadata"
24,"2f9f153a644f99d2d9986980e225d8eabda3cab2","2f9f153","2026-05-04T20:21:03+02:00",,269,0,2,"Add activity feed"
25,"bc5bc8cca3ec3a55fed239246de72788bc2f945f","bc5bc8c","2026-05-04T20:22:15+02:00",,299,0,2,"Add pinned tickets"
26,"21cca112d6cfec40c3f297a91e3e356151583727","21cca11","2026-05-04T20:23:13+02:00",,311,0,2,"Add archived tickets"
27,"37b5dea4a3450e970a5ccc23409b5ebf6e6a4968","37b5dea","2026-05-04T20:23:54+02:00",,311,0,2,"Add archived ticket filtering"
28,"17b94849fda3023cd2ea66b6c12e5c363cfb3e7d","17b9484","2026-05-04T20:25:06+02:00",,333,0,2,"Add saved searches"
29,"9ee3e69e0261ce16a8283d04d22647cfe9c19e6f","9ee3e69","2026-05-04T20:26:22+02:00",,380,0,2,"Add favorite filters"
30,"acc8584528f29b9000d4c6654ef4abb29e730fb7","acc8584","2026-05-04T20:28:25+02:00",,397,0,2,"Add custom ticket fields"
31,"60c0b662080399f9d13d99f23851e447e499856a","60c0b66","2026-05-04T20:30:27+02:00",,400,0,2,"Add validation rules per ticket type"
32,"93b97ad615110f30916826c26b7d36594d07cfe4","93b97ad","2026-05-04T20:32:20+02:00",,444,0,2,"Add ticket templates"
33,"f29e6951ab22e1304f67fafd6c1a50186d2ff8fc","f29e695","2026-05-04T20:33:25+02:00",,451,0,2,"Add role-based field visibility"
34,"eef3fb720959839c458690d55c0509cdb15cf1ef","eef3fb7","2026-05-04T20:35:00+02:00",,474,0,2,"Add ticket merge support"
35,"7cfaf24e75208e5c4a807300e997ea60b3758a89","7cfaf24","2026-05-04T20:36:22+02:00",,482,0,2,"Add undo for bulk actions"
36,"5159cb73cfea8dd20a5097f048154197178e4721","5159cb7","2026-05-04T20:38:31+02:00",,491,0,2,"Add SLA breach warnings"
37,"d09b7d0e472507b7a794a58d5a0774ff1518d78d","d09b7d0","2026-05-04T20:41:00+02:00",,510,0,2,"Add configurable SLA rules"
38,"6195e4ecc93bff59295c238e5fbf4f5faa3e4ad1","6195e4e","2026-05-04T20:43:10+02:00",,537,0,2,"Add ticket escalation rules"
39,"9235a87b5e72ebc555a666e1a87adec3cb06b36b","9235a87","2026-05-04T20:45:51+02:00",,547,0,2,"Add escalation history"
40,"7a9044d27244f5465af38c11157661860a68aa6d","7a9044d","2026-05-04T20:47:06+02:00",,565,0,2,"Add simple analytics commands"
41,"be1813e72ccbc6503a3ea760ca14c5ca59576fff","be1813e","2026-05-04T20:47:53+02:00",,577,0,2,"Add daily summary reports"
42,"6a0e2d7cdc0a4b35cfa90b370cee4340f7249daa","6a0e2d7","2026-05-04T20:48:35+02:00",,583,0,2,"Add weekly summary reports"
43,"d1b8f5c366b38705de27d1e7a7e97f3c9c3496a0","d1b8f5c","2026-05-04T20:49:53+02:00",,603,0,2,"Add custom sorting rules"
44,"c776fb39e1e63e4d0aa8801b37f7a2e93b2ea804","c776fb3","2026-05-04T20:51:15+02:00",,614,0,2,"Add duplicate ticket detection"
45,"509ad730a83860fd1e51a1d7e1b8e9b99ea3acdc","509ad73","2026-05-04T20:52:47+02:00",,643,0,2,"Add import conflict resolution"
46,"359cc5243f6590fd461655b8d839c64fca8abb3a","359cc52","2026-05-04T20:54:44+02:00",,673,0,2,"Add ticket relationships"
47,"db963349af8cc7cbae08d8bd5e101814ca8897b9","db96334","2026-05-04T20:58:21+02:00",,701,0,2,"Add parent-child tickets"
48,"eeb6581743640d5f630f6988ecd9ab1b83be3f43","eeb6581","2026-05-04T20:59:15+02:00",,728,0,2,"Add dependency tracking"
49,"bc0abe55d20fa5abd6b0fcbd2a94376b06d538db","bc0abe5","2026-05-04T21:00:22+02:00",,728,0,2,"Block closing tickets with open dependencies"
50,"5921389009159cb5ebea28fb92989358fdee5b74","5921389","2026-05-04T21:02:27+02:00",,753,0,2,"Add webhook simulation"
51,"25e5062ea6ac4c36c43cd896559e4edd42b60a3b","25e5062","2026-05-04T21:03:16+02:00",,757,0,2,"Add webhook retry handling"
52,"3ad0fd131a83ad969a355e267b89847db82befff","3ad0fd1","2026-05-04T21:04:11+02:00",,780,0,2,"Add API-like command interface"
53,"40273154cc6f8f09ced4cc05d191dbfe0e878be0","4027315","2026-05-04T21:05:31+02:00",,805,0,2,"Add API authentication tokens"
54,"ea4b3d12f231573634ed3406c2f7cccbf7a8893a","ea4b3d1","2026-05-04T21:06:31+02:00",,826,0,2,"Add API rate limiting"
55,"c9551497ef5bbdfaff10d4dc02d853d942083bfc","c955149","2026-05-04T21:07:59+02:00",,828,0,2,"Add simple caching layer"
56,"99b50335c51cb421657c3a85c9165e7df29e12ce","99b5033","2026-05-04T21:08:37+02:00",,829,0,2,"Add cache invalidation rules"
57,"d1e053846249c1d5b36c61501f0d03416d60a987","d1e0538","2026-05-04T21:12:27+02:00",,850,0,2,"Add configurable workflows"
58,"fc9aeeef88a0136495a7abac3bfb63bee400eb51","fc9aeee","2026-05-04T21:14:02+02:00",,880,0,2,"Add workflow transitions"
59,"f66e4705e11eddc3d6b7fd738936aa591151ad2c","f66e470","2026-05-04T21:17:07+02:00",,923,0,2,"Add transition permissions"
60,"7dcb47aba49789caaff03742dd73fad24ba57568","7dcb47a","2026-05-04T21:20:05+02:00",,939,0,2,"Add soft-delete support"
61,"def47a3c167775044589e29e97f300aa40cd403d","def47a3","2026-05-04T21:22:24+02:00",,942,0,2,"Add restore support for deleted records"
62,"bfa2121270a8645e263d1bee8fb4746728ed7b91","bfa2121","2026-05-05T15:14:23+02:00",,975,0,2,"Add event hooks system"
63,"0f4bc66d9b0e7c6b451a73517cee4a1843c78eb8","0f4bc66","2026-05-05T15:17:57+02:00",,1002,0,2,"Add plugin system for custom commands"
64,"c8dd890d355cad3220fa6dcb3e7e454ee90eaa82","c8dd890","2026-05-05T15:19:24+02:00",,1013,0,2,"Add plugin loading from config"
65,"460f38c020f02302a9cb83ff2db287849a88cdfb","460f38c","2026-05-05T15:20:26+02:00",,1015,0,2,"Add command aliases"
66,"961dced9b2fb9d7af129422b7d56ab3d81fbca3d","961dced","2026-05-05T15:22:44+02:00",,1016,0,2,"Add interactive terminal menu"
67,"9142e0b8cb68300b9d58b3635ff922e6c71fe94a","9142e0b","2026-05-05T15:23:41+02:00",,1017,0,2,"Add keyboard shortcuts"
68,"9b598dcb3790c286d0c30f239bb7453ae26517c1","9b598dc","2026-05-05T15:25:16+02:00",,1029,0,2,"Add session persistence"
69,"306c2cef2da218f768374817eeb91f8a7e39b617","306c2ce","2026-05-05T15:28:55+02:00",,1077,0,2,"Add application configuration profiles"
70,"e1a2a8e1b1a6e9c01ada1147823853f5fa0c71e2","e1a2a8e","2026-05-05T15:29:32+02:00",,1077,0,2,"Add environment-specific configuration"
71,"9213af17baec9f5235f4649b86aa7613a721b88e","9213af1","2026-05-05T15:30:37+02:00",,1083,0,2,"Add debug logging mode"
