commit_number,commit,short_commit,committed_at,smell,count
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","All",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","Attribute",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","BooleanParameter",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","Check",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","ClassVariable",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","ControlParameter",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","DataClump",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","DuplicateMethodCall",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","FeatureEnvy",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","InstanceVariableAssumption",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","IrresponsibleModule",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","LongParameterList",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","LongYieldList",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","ManualDispatch",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","MissingSafeMethod",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","ModuleInitialize",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","NestedIterators",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","NilCheck",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","RepeatedConditional",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","SubclassedFromCoreClass",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","TooManyConstants",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","TooManyInstanceVariables",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","TooManyMethods",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","TooManyStatements",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UncommunicativeMethodName",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UncommunicativeModuleName",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UncommunicativeParameterName",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UncommunicativeVariableName",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UnusedParameters",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UnusedPrivateMethod",0
1,"cc910315667941a1e08265df71f99a84db591732","cc91031","2026-05-04T19:44:57+02:00","UtilityFunction",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","All",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","Attribute",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","BooleanParameter",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","Check",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","ClassVariable",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","ControlParameter",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","DataClump",0
2,"3b7c27f0f09220b76a55c271cf3bb3d39d719ae1","3b7c27f","2026-05-04T19:52:27+02:00","DuplicateMethodCall",0
